,Perc_probability,worry,flood_experience,perc_damage,self_efficacy_DP,self_efficacy_WP,resp_efficacy_DP,resp_efficacy_WP,perc_cost_DP,perc_cost_WP,implemented_DP,implemented_WP,perc_risk
31,0.002,0.0,1,0.25,0.5,0.75,0.41666666666666663,0.8333333333333333,0.33333333333333337,0.41666666666666663,0.0,0.0,0.0005
32,0.0,0.0,0,0.0,0.0,0.0,0.25,0.25,1.0,1.0,0.0,0.0,0.0
36,0.0,0.0,0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0
37,0.001,0.0,0,0.0,0.5,0.25,0.33333333333333337,0.16666666666666669,0.16666666666666669,0.6666666666666666,0.0,0.0,0.0
40,0.001,0.0,0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.00025
44,0.0,0.0,1,0.0,0.33333333333333337,0.0,0.16666666666666669,0.0,0.9166666666666667,0.8333333333333333,0.0,0.0,0.0
46,0.001,0.0,0,0.0,0.0,0.16666666666666669,0.5,0.25,0.75,0.33333333333333337,0.0,0.0,0.0
49,0.0,0.0,0,0.0,0.5,0.33333333333333337,0.33333333333333337,0.5833333333333334,0.6666666666666666,0.8333333333333333,0.0,1.0,0.0
51,0.01,0.0,0,0.5,0.5,0.41666666666666663,0.33333333333333337,0.5,0.9166666666666667,0.9166666666666667,0.0,0.0,0.005
52,0.001,0.25,0,0.0,0.41666666666666663,0.0,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.9166666666666667,0.0,0.0,0.0
53,0.002,0.25,0,0.5,0.5833333333333334,0.41666666666666663,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.75,0.0,0.0,0.001
54,0.02,0.5,1,0.25,0.6666666666666666,0.25,0.16666666666666669,0.08333333333333331,0.9166666666666667,0.8333333333333333,0.0,0.0,0.005
56,0.0,0.0,0,0.25,0.0,0.0,0.16666666666666669,0.0,1.0,0.8333333333333333,0.0,0.0,0.0
57,0.0,0.0,0,0.0,0.0,0.0,0.6666666666666666,0.5833333333333334,0.75,0.41666666666666663,0.0,0.0,0.0
58,0.005,0.5,0,1.0,0.25,0.0,0.5,0.5,0.5,0.75,0.0,1.0,0.005
61,0.001,0.0,0,0.5,0.25,0.0,0.16666666666666669,0.5,0.5,0.9166666666666667,0.0,0.0,0.0005
